,salary_min,salary_max,salary_currency,site,name,link
0,,,,hh.ru,Python Developer (SyntData),https://volgograd.hh.ru/vacancy/82956992?from=vacancy_search_list&query=python
1,45000.0,100000.0,₽,hh.ru,Программист Python Junior (BigData),https://volgograd.hh.ru/vacancy/82524858?from=vacancy_search_list&query=python
2,60000.0,,₽,hh.ru,Junior Программист/Разработчик Python,https://volgograd.hh.ru/vacancy/82392679?from=vacancy_search_list&query=python
3,50000.0,,₽,hh.ru,Junior Backend Developer (Python),https://volgograd.hh.ru/vacancy/83050891?from=vacancy_search_list&query=python
4,200000.0,,₽,hh.ru,Программист Python,https://volgograd.hh.ru/vacancy/83684261?from=vacancy_search_list&query=python
5,,420000.0,₽,hh.ru,Python-разработчик,https://volgograd.hh.ru/vacancy/82888245?from=vacancy_search_list&query=python
6,,,,hh.ru,Стажер-разработчик Python,https://volgograd.hh.ru/vacancy/83811980?from=vacancy_search_list&query=python
7,100000.0,140000.0,₽,hh.ru,Python разработчик,https://volgograd.hh.ru/vacancy/83244896?from=vacancy_search_list&query=python
8,350000.0,,₽,hh.ru,Разработчик Python Backend,https://volgograd.hh.ru/vacancy/82844590?from=vacancy_search_list&query=python
9,160000.0,180000.0,₽,hh.ru,Разработчик Python,https://volgograd.hh.ru/vacancy/83332307?from=vacancy_search_list&query=python
10,120000.0,160000.0,₽,hh.ru,Python Developer,https://volgograd.hh.ru/vacancy/83617001?from=vacancy_search_list&query=python
11,130000.0,,₽,hh.ru,Программист Python,https://volgograd.hh.ru/vacancy/83532503?from=vacancy_search_list&query=python
12,,250000.0,₽,hh.ru,Python Backend Developer,https://volgograd.hh.ru/vacancy/83828868?from=vacancy_search_list&query=python
13,,,,hh.ru,Разработчик (Python),https://volgograd.hh.ru/vacancy/83324310?from=vacancy_search_list&query=python
14,30000.0,80000.0,₽,hh.ru,Разработчик Python,https://volgograd.hh.ru/vacancy/80736556?from=vacancy_search_list&query=python
15,50000.0,,₽,hh.ru,Python-разработчик (Django),https://volgograd.hh.ru/vacancy/82704622?from=vacancy_search_list&query=python
16,60000.0,,₽,hh.ru,Программист Python,https://volgograd.hh.ru/vacancy/82795669?from=vacancy_search_list&query=python
17,,250000.0,₽,hh.ru,Python разработчик,https://volgograd.hh.ru/vacancy/83184043?from=vacancy_search_list&query=python
18,,2300.0,₽,hh.ru,Python Developer,https://volgograd.hh.ru/vacancy/83821545?from=vacancy_search_list&query=python
19,,,,hh.ru,Trainee Python Developer,https://volgograd.hh.ru/vacancy/82034889?from=vacancy_search_list&query=python
20,100000.0,190000.0,₽,hh.ru,Разработчик Python Middle,https://volgograd.hh.ru/vacancy/83655667?from=vacancy_search_list&query=python
21,70000.0,,₽,hh.ru,Python / django разработчик,https://volgograd.hh.ru/vacancy/83817542?from=vacancy_search_list&query=python
22,160000.0,,₽,hh.ru,Backend Python Developer (Django),https://volgograd.hh.ru/vacancy/83458412?from=vacancy_search_list&query=python
23,230000.0,300000.0,₽,hh.ru,Data Engineer,https://volgograd.hh.ru/vacancy/83685456?from=vacancy_search_list&query=python
24,,,,hh.ru,Python разработчик,https://volgograd.hh.ru/vacancy/83449672?from=vacancy_search_list&query=python
25,150000.0,250000.0,₽,hh.ru,Программист Python,https://volgograd.hh.ru/vacancy/83439263?from=vacancy_search_list&query=python
26,120000.0,180000.0,₽,hh.ru,Python-разработчик,https://volgograd.hh.ru/vacancy/82995371?from=vacancy_search_list&query=python
27,160000.0,240000.0,₽,hh.ru,"Python Developer Middle (Backend), удаленно",https://volgograd.hh.ru/vacancy/83829617?from=vacancy_search_list&query=python
28,,,,hh.ru,Data Scientist / Python разработчик,https://volgograd.hh.ru/vacancy/78771412?from=vacancy_search_list&query=python
29,,,,hh.ru,Backend-разработчик (Python/Django),https://volgograd.hh.ru/vacancy/81606112?from=vacancy_search_list&query=python
30,90000.0,,,hh.ru,Python Developer,https://volgograd.hh.ru/vacancy/82644396?from=vacancy_search_list&query=python
31,200000.0,,,hh.ru,Middle Python Backend Developer,https://volgograd.hh.ru/vacancy/83387552?from=vacancy_search_list&query=python
32,200000.0,300000.0,₽,hh.ru,Python/PostgreSQL разработчик,https://volgograd.hh.ru/vacancy/83336118?from=vacancy_search_list&query=python
33,170000.0,265000.0,₽,hh.ru,Python разработчик,https://volgograd.hh.ru/vacancy/82417354?from=vacancy_search_list&query=python
34,140000.0,250000.0,₽,hh.ru,Middle Python-разработчик,https://volgograd.hh.ru/vacancy/83578226?from=vacancy_search_list&query=python
35,,200000.0,₽,hh.ru,Программист Python (Junior +),https://volgograd.hh.ru/vacancy/83633647?from=vacancy_search_list&query=python
36,,,,hh.ru,Junior Data Scientist (Стажер),https://volgograd.hh.ru/vacancy/83678529?from=vacancy_search_list&query=python
37,150000.0,200000.0,₽,hh.ru,Backend разработчик (Python),https://volgograd.hh.ru/vacancy/83802140?from=vacancy_search_list&query=python
38,,,,hh.ru,Junior Data Scientist (Стажер),https://volgograd.hh.ru/vacancy/83678530?from=vacancy_search_list&query=python
39,2000.0,,,hh.ru,Python Developer,https://volgograd.hh.ru/vacancy/82356194?from=vacancy_search_list&query=python
40,100000.0,,,hh.ru,Python Backend разработчик,https://volgograd.hh.ru/vacancy/82972404?from=vacancy_search_list&query=python
